ID	logFC	AveExpr	adj.P.Val
DN35291_c0_g1	-2.019543468	-0.41746914	1.68e-06
DN35334_c0_g1	1.289648756	-2.929303506	0.005893337
DN35433_c0_g1	-1.305645248	-2.55235883	0.000645664
DN35477_c0_g1	3.507473592	3.665465252	4.21e-10
DN35556_c0_g1	1.833094893	0.688967913	3.64e-14
DN35600_c0_g1	4.898855968	-2.000805856	6.04e-18
DN35616_c0_g1	-3.525745996	-2.706689783	1.62e-15
DN35694_c0_g1	-1.574866367	-0.575767902	7.53e-06
DN35715_c0_g1	1.244978367	-2.876508598	0.00422475
DN35717_c0_g1	-1.954471984	0.655895383	4.14e-08
DN35758_c0_g1	3.154019526	-2.415082635	1.76e-08
DN35798_c0_g1	-1.772474385	3.575600757	1.58e-08
DN35813_c0_g1	1.84890477	-1.211230325	8.39e-08
DN35917_c0_g1	1.031757706	4.974484181	0.00041303
DN35931_c0_g1	1.998181524	-2.908077822	6.48e-05
DN35978_c0_g1	1.201330268	4.486046373	1.97e-16
DN36021_c0_g1	-2.260391104	-1.165739948	3.82e-07
DN36044_c0_g1	-2.562095143	-0.0228684	1.93e-06
DN36047_c0_g1	1.999429265	-2.445078594	0.000340699
DN36047_c1_g1	2.409978055	-3.509438843	6.02e-07
DN36052_c0_g1	1.640568629	-0.963498714	4.52e-06
DN36061_c0_g1	1.803918804	-1.193571637	6.74e-06
DN36065_c0_g1	-1.380635566	-1.705310133	0.000559285
DN36066_c0_g1	-1.103412482	-0.255763379	5.87e-06
DN36070_c0_g1	-5.366061994	1.590284739	1.26e-08
DN36098_c0_g1	-2.03170369	1.530694522	2.63e-14
DN36178_c0_g1	4.468224892	-3.167161392	2.69e-16
DN36205_c0_g1	-2.361470688	-2.861004693	2.14e-05
DN36245_c0_g1	100	-3.822416064	0.000745788
DN36317_c0_g2	2.917297975	0.691367094	1.31e-13
DN36342_c0_g1	-3.985115767	-0.092650082	3.05e-15
DN36344_c0_g1	1.08787536	-1.447052259	0.001551877
DN36507_c0_g1	-3.505495907	-0.375573324	5.18e-07
DN36589_c0_g1	6.647988199	-2.508388782	9.83e-13
DN36589_c0_g2	10.11689167	-0.619325312	1.98e-07
DN36645_c0_g2	1.819716267	-3.614556421	0.000866951
DN36721_c0_g1	1.620432274	-3.81773329	0.000655052
DN36729_c0_g1	-1.042961676	0.961154042	1.48e-08
DN36732_c0_g1	-1.829714358	5.219962298	1.24e-20
DN36739_c0_g1	3.737238209	-1.121955048	9.3e-19
DN36755_c0_g1	-2.816309402	0.270732527	4.08e-11
DN36788_c0_g3	-1.220706793	-0.51796369	2.67e-05
DN36864_c0_g1	-2.213004638	0.575401572	4.45e-10
DN36870_c0_g1	1.725989818	-2.267762802	0.000174115
DN36976_c0_g1	1.156142045	4.43044576	9.56e-15
DN36982_c0_g2	1.472650665	-3.580818681	0.004307694
DN37001_c0_g1	1.542875561	0.780201833	2.16e-15
DN37041_c0_g2	-1.072747622	-1.366578195	0.000856969
DN37041_c0_g3	-1.340263908	-1.884389496	0.001461094
DN37060_c0_g1	1.572465442	3.520226735	1.61e-05
DN37099_c0_g1	1.684621965	4.940483862	4.08e-16
DN37108_c0_g2	-3.187851176	3.292484233	1.05e-13
DN37108_c0_g3	-2.612606518	-1.778482311	1.69e-06
DN37116_c0_g2	1.068467608	3.535390753	2.69e-10
DN37117_c0_g1	7.964507694	-1.977365228	3.72e-09
DN37117_c0_g2	9.493157441	-1.285659561	5.15e-08
DN37117_c0_g3	8.574357418	-1.546813452	6.63e-08
DN37117_c0_g4	7.215263073	-2.22539752	1.36e-10
DN37126_c0_g1	3.564333032	1.067673511	1.63e-14
DN37145_c0_g1	-1.587167199	1.963156832	5.58e-09
DN37221_c0_g1	1.501565675	-2.617761994	0.002054463
DN37234_c0_g2	2.749791041	-2.497989539	8.04e-10
DN37314_c1_g2	2.413742781	-3.322625809	8.98e-07
DN37347_c0_g1	3.681957838	-2.566881477	1.11e-11
DN37430_c0_g1	1.612772224	-1.658903008	0.001122341
DN37445_c0_g1	8.974707228	-1.42365913	2.08e-07
DN37445_c0_g2	9.365202766	-1.108652368	4.94e-08
DN37450_c0_g1	-1.388875143	-2.648669965	0.002401011
DN37461_c0_g1	-1.094409074	-1.274021382	0.000289798
DN37481_c0_g1	1.047948735	2.990781053	3.45e-09
DN37521_c0_g1	2.266650698	-2.795903283	1.41e-06
DN37527_c0_g2	-1.425110294	-0.753957763	0.000132774
DN37556_c0_g1	2.058200867	-1.612070814	1.06e-08
DN37614_c0_g1	1.235471393	0.25214047	6.17e-06
DN37616_c0_g2	-1.585353465	-1.690775273	9.6e-05
DN37636_c0_g1	1.788322607	-3.130600224	0.000782417
DN37669_c0_g1	1.095821832	3.582739571	1.67e-06
DN37684_c0_g1	1.487017002	-0.672532834	7.26e-05
DN37692_c0_g1	1.725186519	2.01225113	7.07e-05
DN37693_c0_g1	-2.301053937	-0.665299505	6.92e-09
DN37707_c0_g1	1.523483892	0.31251061	5.66e-13
DN37721_c0_g1	1.573697179	-0.7442527	3.23e-06
DN37739_c0_g1	1.124513727	0.306805162	8.09e-06
DN37741_c0_g1	1.424832184	2.74767838	1.45e-16
DN37781_c0_g1	-4.821986304	-0.996545677	5.95e-14
DN37816_c0_g1	2.725563043	-3.272746303	3.02e-07
DN37825_c0_g1	-1.733170869	0.273914266	8.07e-12
DN37834_c0_g1	2.466955265	-3.759884468	1.79e-07
DN37849_c0_g1	-2.15528413	8.944223196	2.15e-19
DN37890_c0_g1	-2.641378255	-0.53608577	8.64e-10
DN37916_c0_g1	3.240763597	-0.59382379	2.09e-10
DN37921_c0_g1	-5.716963829	3.660528951	4.46e-10
DN37994_c0_g1	-1.021103292	-1.911455546	0.003267507
DN38006_c0_g1	-3.039662214	-2.559593272	8.04e-09
DN38017_c0_g1	NA	NA	NA
DN38044_c0_g1	-1.212989119	-1.46590865	7.53e-05
DN38046_c0_g1	-1.562618363	-3.295051517	0.00093734
DN38056_c0_g1	1.006822035	0.349609982	0.0001269
DN38066_c0_g1	-1.196102933	-1.481334299	0.002223689
DN38106_c0_g2	1.669351274	-0.489759118	4.33e-07
DN38142_c0_g1	-1.693499455	-1.188768848	1.47e-06
DN38153_c0_g1	1.298542148	-0.160082247	0.000137013
DN38162_c0_g1	1.923874161	-3.553369401	8.33e-05
DN38163_c0_g1	1.466008652	-3.290960046	0.002396291
DN38166_c0_g1	-3.292516622	-2.612461557	1.84e-11
DN38194_c0_g1	2.95015657	-1.960305915	6.2e-09
DN38225_c0_g1	3.03021087	-2.887414014	1.89e-07
DN38248_c1_g2	1.548875515	2.056515133	5.28e-12
DN38258_c0_g1	4.950704462	-1.366835393	1.04e-19
DN38315_c0_g1	-1.578696707	1.367379329	5.29e-10
DN38336_c0_g1	-1.024265259	0.73550901	4.1e-06
DN38376_c0_g1	1.032885191	-1.887435868	0.000338698
DN38391_c0_g1	-1.667258511	1.897785959	5.93e-17
DN38425_c0_g1	-1.168587976	-1.551358711	0.001899632
DN38460_c0_g1	1.820460793	-2.43305208	0.000828084
DN38477_c0_g1	2.163631385	-0.682779225	5.53e-09
DN38560_c0_g1	1.520644521	-1.206886954	9.07e-07
DN38591_c0_g1	-2.17193069	-0.309769004	8.25e-10
